date,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka
1990,7732.0,1564.12512,289438.0,24.00192,878.0,37673.0,3150.0
1991,8270.0,1564.12512,315631.0,28.00224,932.0,41076.0,3377.0
1992,8894.0,1564.12512,332713.0,30.0024,886.0,48810.0,3540.0
1993,9206.0,1684.13472,356335.0,40.0032,933.0,50646.0,3979.0
1994,9784.0,1686.13488,385438.0,46.00368,1010.0,53555.0,4387.0
1995,10806.0,1630.1304,417624.0,57.00456,1196.0,56957.0,4802.0
1996,11474.0,1972.15776,436736.0,63.00504,1221.0,59125.0,4530.0
1997,11858.0,1838.14704,465812.0,71.00568,1169.0,62155.0,5145.0
1998,12882.0,1801.14408,496929.0,82.00656,1250.0,65428.0,5683.0
1999,14450.0,1800.144,536609.0,93.00744,1478.0,65780.0,6184.0
2000,15771.0,1810.1448,561248.0,104.00832,1659.0,68125.0,7004.0
2001,17392.0,2059.564752,579860.0,116.00928,1867.0,72430.0,6781.0
2002,18665.0,2201.0860728,597293.0,126.01008,2123.0,75704.0,7087.0
2003,19712.0,2529.302328,634037.0,141.01128,2267.0,80830.0,7716.0
2004,24684.0,2354.988384,666649.0,160.0128,2418.0,85699.0,8235.0
2005,26506.0,2647.7118,698248.0,185.0148,2533.0,93832.0,9324.0
2006,29879.0,4521.161664,753253.0,212.01696,2748.0,98350.0,9500.0
2007,31286.0,6562.52496,813912.0,245.0196,2792.0,95691.0,9901.0
2008,34957.0,6961.956912,841712.0,280.0224,2812.0,91626.0,9242.0
2009,37862.0,6998.859864,906818.0,320.0256,3115.0,95400.0,9882.0
