date,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka
1990,402048.0,12649.664,10049959.0,205.1982,241049.0,1424126.0,220777.0
1991,394196.0,12840.959,10362743.0,223.1982,248808.0,1454882.0,221583.0
1992,409193.0,12865.8718,10578196.0,273.5976,254185.0,1556848.0,236305.0
1993,417183.0,14682.5754,10654532.0,309.5976,261403.0,1645850.0,235647.0
1994,437751.0,15826.178,11048721.0,287.9982,270665.0,1701677.0,233965.0
1995,472360.0,16338.9632,11287746.0,439.1964,278877.0,1777655.0,236650.0
1996,469347.0,39133.538,11452702.0,453.5964,285814.0,1826253.0,270898.0
1997,502160.0,39648.0072,11859021.0,478.7964,294658.0,1874134.0,273618.0
1998,508315.0,40831.96,11899510.0,511.1964,302001.0,1917727.0,279041.0
1999,516740.0,41511.3664,12215064.0,590.3958,317803.0,2006459.0,296933.0
2000,539873.0,42519.2074,12133232.0,673.1952,336177.0,2014079.0,302371.0
2001,582265.0,43299.7924,12182960.0,1105.1898,347488.0,2047639.0,296883.0
2002,606707.0,45470.8990892,12544483.0,957.5922,351307.0,2111659.0,300603.0
2003,636844.0,45595.5470952,12745791.0,1029.5922,361484.0,2235423.0,311639.0
2004,646377.0,45598.3004492,13266113.0,1231.1904,367235.0,2372948.0,318082.0
2005,680979.0,47208.6242216,13743264.0,1177.1922,378885.0,2444833.0,334806.0
2006,706967.0,48253.8358672,14409632.0,1418.3898,378938.0,2555534.0,336799.0
2007,751158.0,50336.796402,14984900.0,1346.3922,386078.0,2721891.0,343857.0
2008,816695.0,52384.5706378,15853004.0,1893.5862,397877.0,2663528.0,332979.0
2009,871559.0,54185.9336362,16855084.0,2116.785,413314.0,2728173.0,330600.0
