date,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka
1990,30128776343.5767,299787274.771613,326608014285.815,215089005.235602,3627559252.20577,40010425587.1428,8032551173.24014
1991,30957444767.4222,250045841.039783,274842348144.396,244468292.682927,3921476084.89072,45451961233.9905,9000362581.58086
1992,31708863729.9733,250794358.529508,293262352360.487,284853358.561968,3401211581.29176,48635242274.1567,9703011635.86585
1993,33166530060.0412,235239569.337404,284193716755.321,322326642.335766,3660041666.66667,51478354558.3299,10338679635.7616
1994,33768661426.8069,270801565.190961,333014463391.511,355884383.08887,4066775510.20408,51894795657.7709,11717604208.8223
1995,37939752959.8665,303053461.882371,366599645609.097,398988954.970263,4401104417.67068,60636071684.1918,13029697560.9756
1996,40666015641.0564,316420860.158369,399786888515.031,450382327.952421,4521580381.47139,63320170084.4076,13897738375.2488
1997,42318798537.7144,365964500.196472,423160419439.977,508223603.228547,4918691916.53516,62433340468.0228,15091930835.7349
1998,44091754148.1822,376955086.107719,428741030147.281,540096400.169924,4856255044.39064,62191955814.3478,15794972847.1683
1999,45694072379.3677,419035810.783235,466867079641.707,589239757.009346,5033642384.10596,62973855718.8874,15656342015.855
2000,47124925462.1348,439158233.475187,476609148165.643,624337143.585387,5494252207.90502,73952374969.7995,16330810303.9159
2001,46987842846.553,476360697.049551,493954333980.594,802442810.457516,6007061224.4898,72309738921.3329,15746224409.8
2002,47571130071.3913,537050133.254524,523968561883.754,828240882.492352,6050875806.66403,72306820396.2325,17102623876.2283
2003,51913661485.3195,622026106.84369,618356467437.867,949867661.833266,6330476434.54937,83244801092.7096,18881765437.2151
2004,56560744012.2303,702682018.270426,721585608183.503,1075605492.18297,7273933992.74548,97977766197.6724,20662525941.2986
2005,60277560975.6098,818869145.811526,834215013605.008,992473987.301945,8130258976.02985,109502102510.883,24405791044.7761
2006,61901116736.1525,897672085.755359,949116769619.216,1303375806.06689,9043715355.8881,137264061106.043,28267410542.5164
2007,68415421372.7194,1196091805.60403,1238700195643.9,1541978558.62324,10325618017.379,152385716311.916,32351184234.3157
2008,79554350677.7438,1258193518.73133,1224097069460.46,1891633531.16451,12545438605.3959,170077814106.305,40715240468.9375
2009,89356650349.4064,1264758197.96593,1365372433342.03,1984639640.86858,12899651883.5748,167874973609.977,42067974595.4411
